question,answer,cleaned_question,cleaned_answer
i don't think he even got paid for it.,some people do it just to do it.,think get pay,people
i want to go on a cruise ship.,that sounds like fun. where do you want to go?,want cruise ship,sound like fun want
that sounds like fun. where do you want to go?,i want to cruise to hawaii.,sound like fun want,want cruise hawaii
i want to cruise to hawaii.,"that should be a nice trip. lots of fun, and lots of food.",want cruise hawaii,nice trip lot fun lot food
"that should be a nice trip. lots of fun, and lots of food.",i have no idea how much it will cost.,nice trip lot fun lot food,idea cost
i have no idea how much it will cost.,i think it depends on the season and on your cabin.,idea cost,think depend season cabin
i think it depends on the season and on your cabin.,"well, of course i want to go when the weather is nice.",think depend season cabin,course want weather nice
"well, of course i want to go when the weather is nice.","yes, you don't want to travel in winter storms.",course want weather nice,yes want travel winter storm
"yes, you don't want to travel in winter storms.",and i want to get a big cabin with a view.,yes want travel winter storm,want big cabin view
and i want to get a big cabin with a view.,are you going to travel alone?,want big cabin view,go travel
are you going to travel alone?,"no, my sister and i will travel together.",go travel,sister travel
"no, my sister and i will travel together.","well, you should go online and try to find a good deal.",sister travel,online try find good deal
i hate to fly.,because of all the security?,hate fly,security
because of all the security?,"no, because it hurts my ears.",security,hurt ear
"no, because it hurts my ears.",what do you mean?,hurt ear,mean
what do you mean?,"every time we land or take off, my ears hurt so much.",mean,time land ear hurt
"every time we land or take off, my ears hurt so much.","that's just the altitude change, i think.",time land ear hurt,altitude change think
"that's just the altitude change, i think.","whatever it is, it hurts.",altitude change think,hurt
"whatever it is, it hurts.",can't you take medicine or something for it?,hurt,medicine
can't you take medicine or something for it?,"i've tried everything, but nothing works.",medicine,try work
"i've tried everything, but nothing works.",have you tried earplugs?,try work,try earplug
have you tried earplugs?,"they don't work, either.",try earplug,work
"they don't work, either.","well, be glad you're not a pilot.",work,glad pilot
spring break starts tomorrow.,are you going to go anywhere?,spring break start tomorrow,go
are you going to go anywhere?,i was thinking of driving to arizona.,go,think drive arizona
i was thinking of driving to arizona.,to the grand canyon?,think drive arizona,grand canyon
to the grand canyon?,yes. i've never been there.,grand canyon,yes
yes. i've never been there.,i was there when i was a kid.,yes,kid
i was there when i was a kid.,how did you like it?,kid,like
how did you like it?,i loved it. i still remember how amazing it was.,like,love remember amazing
i loved it. i still remember how amazing it was.,"i'm sure i'll like it, too.",love remember amazing,sure like
"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.,sure like,try ride mule trail
you should try riding a mule on a trail to the bottom.,no way! i don't want to fall to my death.,try ride mule trail,way want fall death
no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.,way want fall death,worry person fall mule
that hotel was terrible.,the worst in the whole world.,hotel terrible,bad world
the worst in the whole world.,the walls were so thin.,bad world,wall thin
the walls were so thin.,all day long we heard tvs or telephones.,wall thin,day long hear tv telephone
all day long we heard tvs or telephones.,all night long we heard people snoring.,day long hear tv telephone,night long hear people snore
all night long we heard people snoring.,housekeeping didn't give us fresh towels.,night long hear people snore,housekeeping fresh towel
housekeeping didn't give us fresh towels.,room service brought us a cold dinner.,housekeeping fresh towel,room service bring cold dinner
room service brought us a cold dinner.,our nonsmoking room stunk of cigarette smoke.,room service bring cold dinner,nonsmoking room stunk cigarette smoke
our nonsmoking room stunk of cigarette smoke.,our room was right next to the elevator and the ice machine.,nonsmoking room stunk cigarette smoke,room right elevator ice machine
our room was right next to the elevator and the ice machine.,they added phony charges to our bill.,room right elevator ice machine,add phony charge bill
they added phony charges to our bill.,how did we end up in that terrible hotel?,add phony charge bill,end terrible hotel
how did we end up in that terrible hotel?,the travel agent gave us a 50-percent discount!,end terrible hotel,travel agent give percent discount
i have to hang up. i'm so sleepy.,it's not even 10 o'clock.,hang sleepy,
it's not even 10 o'clock.,i'm falling asleep on the phone.,,fall asleep phone
i'm falling asleep on the phone.,you got up real early.,fall asleep phone,get real early
you got up real early.,i had to take my friend to the airport.,get real early,friend airport
i had to take my friend to the airport.,why didn't you take a nap when you got home?,friend airport,nap get home
why didn't you take a nap when you got home?,i didn't get home until 30 minutes ago.,nap get home,home minute ago
i didn't get home until 30 minutes ago.,why is that?,home minute ago,
why is that?,there was a bomb threat at the airport.,,bomb threat airport
there was a bomb threat at the airport.,only a threat?,bomb threat airport,threat
only a threat?,"yes, but i was stuck there all day while they looked for the bomb.",threat,yes stick day look bomb
"yes, but i was stuck there all day while they looked for the bomb.",someday the bomb is going to be for real.,yes stick day look bomb,someday bomb go real
"my dad went to washington, d.c.",why did he do that?,dad go washington,
why did he do that?,"he was invited, along with about 90 other veterans.",,invite veteran
"he was invited, along with about 90 other veterans.",who invited them?,invite veteran,invite
who invited them?,some private organization.,invite,private organization
some private organization.,why did they invite him?,private organization,invite
why did they invite him?,to thank him and all the other soldiers who served in world war ii.,invite,thank soldier serve world war ii
to thank him and all the other soldiers who served in world war ii.,that's very nice.,thank soldier serve world war ii,nice
that's very nice.,my dad got to see the beautiful new world war ii monument.,nice,dad get beautiful new world war ii monument
my dad got to see the beautiful new world war ii monument.,that trip must have cost a lot of money. ,dad get beautiful new world war ii monument,trip cost lot money
that trip must have cost a lot of money. ,he said all the money came from private donations.,trip cost lot money,say money come private donation
"that was a great trip to washington, d.c.","tell me about it, dad.",great trip washington,tell dad
"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.,tell dad,world war ii veteran get plane
about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?,world war ii veteran get plane,long flight
how long was the flight?,it only took about two hours.,long flight,take hour
it only took about two hours.,did you take pictures at the world war ii monument?,take hour,picture world war ii monument
did you take pictures at the world war ii monument?,"oh, yes. we all took lots of pictures.",picture world war ii monument,oh yes take lot picture
"oh, yes. we all took lots of pictures.",then you flew back home that evening?,oh yes take lot picture,fly home evening
then you flew back home that evening?,"yes. when we landed, tv reporters and the army band were there.",fly home evening,yes land tv reporter army band
"yes. when we landed, tv reporters and the army band were there.",that must have made you feel really special.,yes land tv reporter army band,feel special
that must have made you feel really special.,"oh, it did. there were about 300 people there to honor us.",feel special,oh people honor
"oh, it did. there were about 300 people there to honor us.","well, you all deserve it. you helped save our country.",oh people honor,deserve help save country
i need a job.,i thought you had a job.,need job,think job
i thought you had a job.,i did.,think job,
i did.,what happened?,,happen
what happened?,i got laid off.,happen,get lay
i got laid off.,that's terrible! when did it happen?,get lay,terrible happen
that's terrible! when did it happen?,i got laid off last week.,terrible happen,get lay week
i got laid off last week.,just you?,get lay week,
just you?,"no, ten of my coworkers got laid off, too.",,coworker get lay
"no, ten of my coworkers got laid off, too.",what are you going to do?,coworker get lay,go
what are you going to do?,i'm looking in the newspaper for a job.,go,look newspaper job
i'm looking in the newspaper for a job.,good luck!,look newspaper job,good luck
"before you go to that interview, check yourself.",what's to check?,interview check,check
what's to check?,are your nails clean?,check,nail clean
are your nails clean?,"yes, they are.",nail clean,yes
"yes, they are.",did you double-check your nose and teeth?,yes,double check nose tooth
did you double-check your nose and teeth?,"they are clean, too.",double check nose tooth,clean
"they are clean, too.",did you shine your shoes?,clean,shine shoe
did you shine your shoes?,my shoes are shined.,shine shoe,shoe shine
my shoes are shined.,do your socks match?,shoe shine,sock match
do your socks match?,of course they match.,sock match,course match
of course they match.,"no, they don't. one is black and one is dark blue.",course match,black dark blue
"no, they don't. one is black and one is dark blue.",yikes! thank you.,black dark blue,yike thank
life is hard.,it sure is.,life hard,sure
it sure is.,i thought school was hard.,sure,think school hard
i thought school was hard.,"me, too. i couldn't wait to graduate.",think school hard,wait graduate
"me, too. i couldn't wait to graduate.","but now work is hard, too.",wait graduate,work hard
"but now work is hard, too.",i agree. work is just as hard as school.,work hard,agree work hard school
i agree. work is just as hard as school.,sometimes i wish i was back in school.,agree work hard school,wish school
sometimes i wish i was back in school.,"me, too. school was fun.",wish school,school fun
"me, too. school was fun.",and it was only 12 years.,school fun,year
and it was only 12 years.,it went by pretty fast.,year,go pretty fast
it went by pretty fast.,but work goes on forever!,go pretty fast,work go forever
but work goes on forever!,we have to work for 30 years!,work go forever,work year
i'm sleepy.,so am i.,sleepy,
so am i.,i had a long day.,,long day
i had a long day.,so did i.,long day,
so did i.,i didn't even have lunch.,,lunch
i didn't even have lunch.,neither did i.,lunch,
neither did i.,i was busy the whole day.,,busy day
i was busy the whole day.,so was i.,busy day,
so was i.,i had to bring work home with me.,,bring work home
i had to bring work home with me.,i did too.,bring work home,
i did too.,your day was just like mine.,,day like
your day was just like mine.,of course it was. we work together!,day like,course work
i don't like my job.,what do you do?,like job,
what do you do?,i'm a babysitter.,,babysitter
i'm a babysitter.,is that a lot of work?,babysitter,lot work
is that a lot of work?,babies cry all the time.,lot work,baby cry time
babies cry all the time.,you have to change their diapers.,baby cry time,change diaper
you have to change their diapers.,i have to feed them.,change diaper,feed
i have to feed them.,are you looking for another job?,feed,look job
are you looking for another job?,"no, i'm looking for another family.",look job,look family
"no, i'm looking for another family.",another family?,look family,family
another family?,a family with only one baby.,family,family baby
a family with only one baby.,that's a good idea.,family baby,good idea
i need a job.,what was your last job?,need job,job
what was your last job?,i was a painter.,job,painter
i was a painter.,what happened?,painter,happen
what happened?,i got laid off because there was no work.,happen,get lay work
i got laid off because there was no work.,what else can you do?,get lay work,
what else can you do?,i'm a handyman.,,handyman
i'm a handyman.,can you fix a dripping faucet in a kitchen sink?,handyman,fix dripping faucet kitchen sink
can you fix a dripping faucet in a kitchen sink?,of course.,fix dripping faucet kitchen sink,course
of course.,then i have a job for you in my kitchen.,course,job kitchen
then i have a job for you in my kitchen.,it will cost you only $20 plus parts.,job kitchen,cost plus part
it will cost you only $20 plus parts.,okay. that sounds like a fair price.,cost plus part,okay sound like fair price
what would you do if you lost your job?,i have no idea. i've been here for 20 years.,lose job,idea year
i have no idea. i've been here for 20 years.,do you have any other skills?,idea year,skill
do you have any other skills?,"well, i know how to flip hamburgers.",skill,know flip hamburger
"well, i know how to flip hamburgers.",no one would hire you to flip hamburgers.,know flip hamburger,hire flip hamburger
no one would hire you to flip hamburgers.,have you heard something that you're not telling me?,hire flip hamburger,hear tell
have you heard something that you're not telling me?,what do you mean?,hear tell,mean
what do you mean?,are there going to be layoffs at this place?,mean,go layoff place
are there going to be layoffs at this place?,i certainly hope not!,go layoff place,certainly hope
i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too.",certainly hope,get lay flip hamburger
"if you got laid off, you'd be flipping hamburgers, too.","oh great, we could both work at burger king.",get lay flip hamburger,oh great work burger king
"oh great, we could both work at burger king.","maybe we'd get laid off there, too.",oh great work burger king,maybe lay
do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best.",student talk job,yes ask job good
"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.,yes ask job good,tell student teacher
i tell my students to become a teacher.,teaching is a great job.,tell student teacher,teaching great job
teaching is a great job.,it's the best job i've ever had.,teaching great job,good job
it's the best job i've ever had.,what makes it so good?,good job,make good
what makes it so good?,"for me, it's the students.",make good,student
"for me, it's the students.",what do you mean?,student,mean
what do you mean?,i mean i have wonderful students.,mean,mean wonderful student
i mean i have wonderful students.,that must be nice.,mean wonderful student,nice
that must be nice.,teaching is the best part of my whole day.,nice,teaching good day
teaching is the best part of my whole day.,you're a lucky man to have a job you love.,teaching good day,lucky man job love
"boy, i'm glad that job is finished.",how long did it take?,boy glad job finish,long
how long did it take?,"four hours, without a break.",long,hour break
"four hours, without a break.",it's always nice to finish a job.,hour break,nice finish job
it's always nice to finish a job.,"well, it's good and bad.",nice finish job,good bad
"well, it's good and bad.",what's bad about it?,good bad,bad
what's bad about it?,"when you finish, all you do is start another job!",bad,finish start job
"when you finish, all you do is start another job!","yes, that's right. it does get boring.",finish start job,yes right boring
"yes, that's right. it does get boring.","especially if it's the same work, over and over.",yes right boring,especially work
"especially if it's the same work, over and over.",but that's what most people do.,especially work,people
but that's what most people do.,"yes, i guess most of us are stuck in a routine.",people,yes guess stick routine
"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.,yes guess stick routine,wonder job repeat
i think i have the worst boss in the world.,what makes him so bad?,think bad boss world,make bad
what makes him so bad?,he's rude and he yells a lot.,make bad,rude yell lot
he's rude and he yells a lot.,that's hard to take.,rude yell lot,hard
that's hard to take.,i've never heard him say please or thank you.,hard,hear thank
i've never heard him say please or thank you.,he sounds like a real jerk.,hear thank,sound like real jerk
he sounds like a real jerk.,no one at work likes him.,sound like real jerk,work like
no one at work likes him.,can't you report him to his supervisor?,work like,report supervisor
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job.",report supervisor,course lose job
"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers.",course lose job,yes like troublemaker complainer
"yes, they don't like troublemakers or complainers.","i can't quit, because i'm making a good salary.",yes like troublemaker complainer,quit make good salary
"i can't quit, because i'm making a good salary.",you shouldn't choose money over happiness.,quit make good salary,choose money happiness
what are we going to do?,about what?,go,
about what?,about finding a job for me.,,find job
about finding a job for me.,you don't need a job. i make enough money for both of us.,find job,need job money
you don't need a job. i make enough money for both of us.,that doesn't matter. i don't want to sit around.,need job money,matter want sit
that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?",matter want sit,okay kind job want
"okay, what kind of job do you want?",i'm not sure.,okay kind job want,sure
i'm not sure.,"well, you should do something that you enjoy.",sure,enjoy
"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.,enjoy,enjoy sell bear sell
i enjoy selling. i was born to sell.,"okay, what do you want to sell?",enjoy sell bear sell,okay want sell
"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.,okay want sell,cigarette lighter fortune
cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!,cigarette lighter fortune,hate cigarette hate smoking
a new hotel is looking for workers.,"yes, i saw it on the tv news.",new hotel look worker,yes see tv news
"yes, i saw it on the tv news.",they need 300 new workers.,yes see tv news,need new worker
they need 300 new workers.,"and 4,000 people showed up.",need new worker,people show
"and 4,000 people showed up.",so many people are out of work.,people show,people work
so many people are out of work.,"i still have my job, thank goodness.",people work,job thank goodness
"i still have my job, thank goodness.","so do i, but i'm worried.",job thank goodness,worried
"so do i, but i'm worried.",me too. there are no guarantees.,worried,guarantee
me too. there are no guarantees.,"if you lose your job, you can move in with me.",guarantee,lose job
"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you.",lose job,oh thank nice
"oh, thank you. that's very nice of you.",you would do the same for me.,oh thank nice,
you would do the same for me.,of course. what are friends for?,,course friend
i think i did something real stupid.,what did you do?,think real stupid,
what did you do?,i bought some stock.,,buy stock
i bought some stock.,everybody buys stock.,buy stock,everybody buy stock
everybody buys stock.,i bought it on a hunch.,everybody buy stock,buy hunch
i bought it on a hunch.,you didn't read about the company first?,buy hunch,read company
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.,read company,business year
i didn't have to. it's been in business for 60 years.,so what's the problem?,business year,problem
so what's the problem?,i used all my savings on this one company.,problem,saving company
i used all my savings on this one company.,you put all your eggs into one basket.,saving company,egg basket
you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing.",egg basket,company go business
"if the company goes out of business, i'll have nothing.","oh, you'll have somethingyou'll have a lesson you'll never forget!",company go business,oh lesson forget
i was going to be a doctor.,what happened to your plans?,go doctor,happen plan
what happened to your plans?,i got a d in college chemistry.,happen plan,get d college chemistry
i got a d in college chemistry.,"well, a d is better than an f.",get d college chemistry,d well
"well, a d is better than an f.",a tutor helped me get the d!,d well,tutor help d
a tutor helped me get the d!,"so, you didn't become a doctor.",tutor help d,doctor
"so, you didn't become a doctor.",and now i'm glad that i didn't.,doctor,glad
and now i'm glad that i didn't.,why's that?,glad,
why's that?,a hospital is the most dangerous place in the world.,,hospital dangerous place world
a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs.",hospital dangerous place world,oh yes killer germ
"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals.",oh yes killer germ,smart doctor stay away hospital
"if you're a smart doctor, you stay away from hospitals.","yes, the smart doctors are those tv news doctorsno hospitals, no patients.",smart doctor stay away hospital,yes smart doctor tv news hospital patient
i want to be a mail carrier when i grow up.,why?,want mail carrier grow,
why?,because you get to meet a lot of people.,,meet lot people
because you get to meet a lot of people.,you sure do.,meet lot people,sure
you sure do.,and you get a lot of exercise every day.,sure,lot exercise day
and you get a lot of exercise every day.,that's the truth.,lot exercise day,truth
that's the truth.,and you get to play with a lot of dogs.,truth,play lot dog
and you get to play with a lot of dogs.,"well, you're supposed to be working.",play lot dog,suppose work
"well, you're supposed to be working.","yes, but i will always pet the friendly dogs.",suppose work,yes pet friendly dog
"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?,yes pet friendly dog,unfriendly dog
what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you.",unfriendly dog,think friendly dog friendly
"i think if you are friendly to dogs, they are friendly to you.",dogs are like peoplenot all of them are friendly.,think friendly dog friendly,dog like friendly
i want to move to new york.,to the state or the city?,want new york,state city
to the state or the city?,"to the city, of course.",state city,city course
"to the city, of course.",why do you want to move there?,city course,want
why do you want to move there?,because i want to make a lot of money.,want,want lot money
because i want to make a lot of money.,there are a lot of poor people in new york.,want lot money,lot poor people new york
there are a lot of poor people in new york.,there sure areat least a million.,lot poor people new york,sure million
there sure areat least a million.,so how do you plan to become rich?,sure million,plan rich
so how do you plan to become rich?,i will knock on the doors of all the corporations.,plan rich,knock door corporation
i will knock on the doors of all the corporations.,that won't make you rich. nobody will talk to you.,knock door corporation,will rich talk
that won't make you rich. nobody will talk to you.,i will keep knocking on doors.,will rich talk,knock door
i will keep knocking on doors.,all you will get is sore knuckles.,knock door,sore knuckle
i love salads.,me too.,love salad,
me too.,i usually eat a simple salad.,,usually eat simple salad
i usually eat a simple salad.,what do you put in it?,usually eat simple salad,
what do you put in it?,"just lettuce, tomato, and celery.",,lettuce tomato celery
"just lettuce, tomato, and celery.",that's it?,lettuce tomato celery,
that's it?,i add some pepper and salt.,,add pepper salt
i add some pepper and salt.,i always put cheese in my salads.,add pepper salt,cheese salad
i always put cheese in my salads.,"yes, cheese is nice.",cheese salad,yes cheese nice
"yes, cheese is nice.",what kind of dressing do you use?,yes cheese nice,kind dressing use
what kind of dressing do you use?,i pour lots of french dressing on top.,kind dressing use,pour lot french dressing
i pour lots of french dressing on top.,me too. french dressing is so delicious! who cares about calories?,pour lot french dressing,french dressing delicious care calorie
i love cheese.,me too.,love cheese,
me too.,where does cheese come from?,,cheese come
where does cheese come from?,it comes from cows.,cheese come,come cow
it comes from cows.,"so we get cheese from cows, and we get milk, too?",come cow,cheese cow milk
"so we get cheese from cows, and we get milk, too?","yes, we do.",cheese cow milk,yes
"yes, we do.",what else do we get from cows?,yes,cow
what else do we get from cows?,we get hamburgers and steak.,cow,hamburger steak
we get hamburgers and steak.,"oh, that's so delicious.",hamburger steak,oh delicious
"oh, that's so delicious.",we also get leather.,oh delicious,leather
we also get leather.,"we get a lot of things from cows, don't we?",leather,lot thing cow
"we get a lot of things from cows, don't we?",yes. a cow is man's best friend.,lot thing cow,yes cow man good friend
i used to work in a deli.,how did you like it?,work deli,like
how did you like it?,i loved it!,like,love
i loved it!,did you get free food?,love,free food
did you get free food?,i ate free cheese and meat every day.,free food,eat free cheese meat day
i ate free cheese and meat every day.,that sounds like a great job.,eat free cheese meat day,sound like great job
that sounds like a great job.,"whatever a customer ordered, i sliced off a little more for me.",sound like great job,customer order slice little
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?,customer order slice little,fat
did you get fat?,"no, but i did put on a few pounds.",fat,pound
"no, but i did put on a few pounds.",that sounds like a dream job.,pound,sound like dream job
that sounds like a dream job.,"it was, until one day my manager caught me.",sound like dream job,day manager catch
"it was, until one day my manager caught me.","no more free cheese for you, huh?",day manager catch,free cheese huh
i'm on a new diet.,what are you eating now?,new diet,eat
what are you eating now?,i switched from pasta to potatoes.,eat,switch pasta potato
i switched from pasta to potatoes.,why did you do that?,switch pasta potato,
why did you do that?,pasta is processed food. potatoes are natural food.,,pasta process food potato natural food
pasta is processed food. potatoes are natural food.,natural food has more vitamins.,pasta process food potato natural food,natural food vitamin
natural food has more vitamins.,and it's just as easy to prepare.,natural food vitamin,easy prepare
and it's just as easy to prepare.,how do you prepare the potatoes?,easy prepare,prepare potato
how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes.",prepare potato,wash steam minute
"i wash them, and then steam them for 15 minutes.",that's pretty simple.,wash steam minute,pretty simple
that's pretty simple.,"then i add butter, salt, and pepper.",pretty simple,add butter salt pepper
"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?,add butter salt pepper,can tomato sauce buy pasta
my girlfriend's mom got mad at me at the dinner table.,why was that?,girlfriend mom get mad dinner table,
why was that?,i sprinkled salt and pepper on the food before i tasted it.,,sprinkle salt pepper food taste
i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?,sprinkle salt pepper food taste,matter
what's the matter with that?,her mom is a great cook.,matter,mom great cook
her mom is a great cook.,"so, a little salt and pepper never hurt anything.",mom great cook,little salt pepper hurt
"so, a little salt and pepper never hurt anything.",it hurt her feelings.,little salt pepper hurt,hurt feeling
it hurt her feelings.,oh.,hurt feeling,oh
oh.,"i apologized to her, but i could tell she was still upset.",oh,apologize tell upset
"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.,apologize tell upset,maybe eat
maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.,maybe eat,sure okay day
i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.,sure okay day,girlfriend fault warn
i eat the same thing every day.,you're kidding.,eat thing day,kid
you're kidding.,"no, i'm serious.",kid,
"no, i'm serious.",doesn't that get old?,,old
doesn't that get old?,"no, because i'm eating food that i like.",old,eat food like
"no, because i'm eating food that i like.",but the same thing day after day gets old.,eat food like,thing day day get old
but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different.",thing day day get old,guess old change different
"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?,guess old change different,eat fruit vegetable day
do you eat fruits and vegetables every day?,"no, i hate vegetables.",eat fruit vegetable day,hate vegetable
"no, i hate vegetables.",but you eat fruits.,hate vegetable,eat fruit
but you eat fruits.,"i eat two apples, one banana, and one orange every day.",eat fruit,eat apple banana orange day
"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that.",eat apple banana orange day,wrong
there's something wrong with my orange.,what's wrong?,wrong orange,wrong
what's wrong?,it's not orange!,wrong,orange
it's not orange!,your orange isn't orange?,orange,orange orange
your orange isn't orange?,"no, it's dark pink!",orange orange,dark pink
"no, it's dark pink!",are you sure? i never heard of such a thing.,dark pink,sure hear thing
are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now.",sure hear thing,peel look right
"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink.",peel look right,let yes right orange pink
"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?,let yes right orange pink,hear thing
who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel.",hear thing,oh look little sticker call pink navel
"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?,oh look little sticker call pink navel,world come
what is this world coming to?,who knows? maybe soon we'll have pink bananas.,world come,know maybe soon pink banana
i love peanuts.,"me, too. i love them roasted and salted.",love peanut,love roast salt
"me, too. i love them roasted and salted.",i love boiled peanuts.,love roast salt,love boil peanut
i love boiled peanuts.,boiled? i never heard of that.,love boil peanut,boil hear
boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.,boil hear,boil raw peanut salt water shell soft
just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.,boil raw peanut salt water shell soft,try
i'll have to try them sometime.,they're best when they're hot.,try,best hot
they're best when they're hot.,my brother is allergic to peanuts.,best hot,brother allergic peanut
my brother is allergic to peanuts.,that's not good.,brother allergic peanut,good
that's not good.,"no, it isn't. he almost died when he was little.",good,die little
"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.,die little,guess careful eat
i guess he has to be very careful about what he eats.,he has a very strict diet.,guess careful eat,strict diet
i'm gaining weight.,how much have you gained?,gain weight,gain
how much have you gained?,three pounds just this month.,gain,pound month
three pounds just this month.,do you know why?,pound month,know
do you know why?,i think it's the ice cream.,know,think ice cream
i think it's the ice cream.,you started eating ice cream?,think ice cream,start eat ice cream
you started eating ice cream?,it was on sale.,start eat ice cream,sale
it was on sale.,how much did you buy?,sale,buy
how much did you buy?,i filled up my freezer with ice cream.,buy,fill freezer ice cream
i filled up my freezer with ice cream.,"well, it won't last forever.",fill freezer ice cream,will forever
"well, it won't last forever.","no, i figure i'll finish it all by next week.",will forever,figure finish week
"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale.",figure finish week,start lose weight sale
i'm stuffed.,of course you are. you ate everything on the table.,stuff,course eat table
of course you are. you ate everything on the table.,i don't like to eat leftovers.,course eat table,like eat leftover
i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.,like eat leftover,glad hear like eat
i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.,glad hear like eat,like food hot fresh
i like my food hot and fresh.,you like to see it disappear.,like food hot fresh,like disappear
you like to see it disappear.,i don't like it reheated.,like disappear,like reheat
i don't like it reheated.,"well, you'll have hot fresh food tomorrow night.",like reheat,hot fresh food tomorrow night
"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.,hot fresh food tomorrow night,go burst
i'm so full i'm going to burst.,you should loosen your belt.,go burst,loosen belt
you should loosen your belt.,i already loosened my belt and unbuttoned my pants.,loosen belt,loosen belt unbutton pant
i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please.",loosen belt unbutton pant,stand
i saw what you did.,i didn't do anything.,see,
i didn't do anything.,"oh yes, you did.",,oh yes
"oh yes, you did.",what are you talking about?,oh yes,talk
what are you talking about?,you know what i'm talking about.,talk,know talk
you know what i'm talking about.,i don't have any idea.,know talk,idea
i don't have any idea.,you know what you did.,idea,know
you know what you did.,"maybe i know, but how could you know?",know,maybe know know
"maybe i know, but how could you know?",because i was watching you.,maybe know know,watch
because i was watching you.,"okay, i'm sorry i did it.",watch,okay sorry
"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!,okay sorry,drink milk carton use glass
don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.,drink milk carton use glass,promise drink carton
i like that shirt.,so do i.,like shirt,
so do i.,how much is it?,,
how much is it?,i don't know. the tag is missing.,,know tag miss
i don't know. the tag is missing.,ask the clerk.,know tag miss,ask clerk
ask the clerk.,i will.,ask clerk,
i will.,"oh, look. here's another shirt just like it.",,oh look shirt like
"oh, look. here's another shirt just like it.",does it have a price tag?,oh look shirt like,price tag
does it have a price tag?,"yes, it does. it's only $20.",price tag,yes
"yes, it does. it's only $20.",that's a great price.,yes,great price
that's a great price.,i think i'll buy both of them.,great price,think buy
i think i'll buy both of them.,you'd better try them on first.,think buy,well try
i bought you a pair of pants.,thank you.,buy pair pant,thank
thank you.,i hope they fit.,thank,hope fit
i hope they fit.,i hope you kept the receipt.,hope fit,hope keep receipt
i hope you kept the receipt.,you think they won't fit?,hope keep receipt,think will fit
you think they won't fit?,i think i've put on some weight.,think will fit,think weight
i think i've put on some weight.,you think?,think weight,think
you think?,maybe a pound or two.,think,maybe pound
maybe a pound or two.,maybe four or five pounds?,maybe pound,maybe pound
maybe four or five pounds?,my waist is bigger than it was.,maybe pound,waist big
my waist is bigger than it was.,no problem. these pants have an elastic waistband.,waist big,problem pant elastic waistband
no problem. these pants have an elastic waistband.,you are so smart!,problem pant elastic waistband,smart
what do we need to buy?,let me look at our list.,need buy,let look list
let me look at our list.,i know that we need milk.,let look list,know need milk
i know that we need milk.,nonfat.,know need milk,nonfat
